t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0,local1,local2,local3,local4,local5,local6,local7,local8,local9,local10,local11,local12,local13,local14,local15,local16
277,-1,982038.938,9885.28516,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,978616.062,42.4107704,6919.34961,993238.75,962762.188,6316.00586,981344.438,983213.562,978616.062,1302.44153,982116.625,982987.125,2609.6875,-0.022183001,972735.75,-2609.6875,-15.823555
278,-1,982038.938,9911.18848,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,976878.938,38.1623955,6885.61475,991460.75,962762.188,7051.56396,979624.688,983213.562,976878.938,1876.43701,981784.375,981620.25,-5173.6875,-0.0243270397,968151.812,5173.6875,-11.3261261
279,-1,982038.938,9920.02344,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,975138.188,36.8081093,6527.36084,989648.188,962762.188,7741.41016,977915.938,983213.562,975138.188,2527.15674,981268.562,979824.438,-1764.5625,-0.0242184997,970761.5,1764.5625,-7.31001282
280,-1,982038.938,9921.94531,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,973578.312,36.5045624,6303.48682,989648.188,961935,8214.11133,976296.125,983213.562,973578.312,3160.74585,980605.562,978616.062,-383.9375,-0.0229964256,965587.812,383.9375,-4.58607483
281,-1,982038.938,9936.39844,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,971841.562,34.2196045,6115.93848,989648.188,960157.688,8940.65039,974726.375,983213.562,971841.562,3809.59546,979821.625,976878.938,-2886.625,-0.0223683119,963823.25,2886.625,-0.486846924
282,-1,982038.938,9948,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,970027.438,32.463047,5860.19287,987673.688,958126.5,9313.05176,972757.812,983154.188,970027.438,4433.52148,978879.875,975138.188,-2317.125,-0.0279568434,963439.312,2317.125,1.6669693
283,-1,982038.938,9959.39551,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,968151.688,30.7910614,5710.18359,987305.438,955218.375,9801.2041,970842.875,983054.625,968151.688,5042.19238,977808.125,973578.312,-2276.0625,-0.0272790194,960552.688,2276.0625,4.45209503
284,-1,982038.938,9926.28711,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967407.75,40.3960419,5798.52295,987305.438,955218.375,9721.97559,969653.438,983054.625,967407.75,5505.18018,976720.938,971841.562,6612.6875,-0.0170055628,958235.562,-6612.6875,4.04880524
285,-1,982038.938,9908.91211,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967225.75,44.7312012,6054.2666,987305.438,955218.375,9329.80469,968667.062,983054.625,967225.75,5779.4668,975647.062,970027.438,3470.4375,-0.0140935779,955959.5,-3470.4375,2.03733063
286,-1,982038.938,9907.36914,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,967109.062,45.1129074,6081.68506,987305.438,955218.375,8064.33887,967291.438,983054.625,967109.062,5814.49121,974533,968151.688,308.125,-0.0195395947,962572.188,-308.125,-4.745224
287,-1,982038.938,9931.94922,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,966353.375,40.333107,6051.51562,987305.438,955218.375,6431.06689,965585.938,982987.125,966353.375,5654.82617,973340,967407.75,-4909.5625,-0.0242323875,966042.625,4909.5625,-14.3494415
288,-1,982038.938,9924.25195,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965903.438,42.3917694,5969.78662,983683,955218.375,4397.4834,964188.062,981620.25,965903.438,5271.67285,972119.688,967225.75,1537.625,-0.0199173093,966350.75,-1537.625,-28.2259293
289,-1,982038.938,9920.45312,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965614.625,43.4289284,5808.17676,976165.625,955218.375,3704.11523,963545.312,979824.438,965614.625,4801.9751,970976.438,967109.062,758.6875,-0.00925046206,961441.188,-758.6875,-33.6754761
290,-1,982038.938,9931.59375,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965067.625,41.0922012,5578.53027,976165.625,955218.375,3503.58081,963071,978616.062,965067.625,4341.65039,969922.438,966353.375,-2225.1875,-0.00685793161,962978.812,2225.1875,-35.3442879
291,-1,982038.938,9916.01074,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965008.562,45.5085831,5594.01904,971399.875,955218.375,2833.87793,962632.625,976878.938,965008.562,3772.45117,968950.5,965903.438,3112.375,-0.00632166862,963737.5,-3112.375,-41.2955437
292,-1,982038.938,9912.10547,1,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965061.375,46.5892067,5395.98633,969416.25,955218.375,2820.59521,962619.562,975138.188,965008.562,3179.48901,968106.375,965614.625,779.9375,-0.000189721584,961512.312,-779.9375,-41.4207115
293,-1,982038.938,9898.25,0,0,0,0,0.0500000007,0.100000001,0.0799999982,0.5,965476.125,50.3514481,5687.19287,971529.562,955218.375,3155.60449,962930.312,973578.312,965008.562,2568.08691,967416.312,965067.625,2767.375,0.0045119524,964624.688,-2767.375,-38.3541756
