t,position,entry_px,equity,el,xl,es,xs,stop,tp,trail,size,local0
220,1,951423.625,9741.48438,0,0,0,0,0.0299999993,0,0,0.75,43.8026962
221,1,951423.625,9764.92773,0,0,0,0,0.0299999993,0,0,0.75,48.0164223
222,1,951423.625,9771.80469,0,0,0,0,0.0299999993,0,0,0.75,49.2192688
223,1,951423.625,9747.17969,0,0,0,0,0.0299999993,0,0,0.75,45.1871643
224,1,951423.625,9769.52734,0,0,0,0,0.0299999993,0,0,0.75,49.2505112
225,1,951423.625,9768.72949,0,0,0,0,0.0299999993,0,0,0.75,49.110527
226,1,951423.625,9725.31641,0,0,0,0,0.0299999993,0,0,0.75,42.0993347
227,1,951423.625,9688.11133,0,0,0,0,0.0299999993,0,0,0.75,37.1982307
228,1,951423.625,9690.97461,0,0,0,0,0.0299999993,0,0,0.75,37.7983398
229,1,951423.625,9689.87695,0,0,0,0,0.0299999993,0,0,0.75,37.6498299
230,1,951423.625,9779.07031,0,0,0,0,0.0299999993,0,0,0.75,53.6049004
231,1,951423.625,9825.30273,0,0,0,0,0.0299999993,0,0,0.75,59.4039917
232,1,951423.625,9841.34766,0,0,0,0,0.0299999993,0,0,0.75,61.2157288
233,1,951423.625,9877.50391,0,0,0,0,0.0299999993,0,0,0.75,65.0057526
234,1,951423.625,9876.11719,0,0,0,0,0.0299999993,0,0,0.75,64.7444153
235,1,951423.625,9912.37109,0,0,0,0,0.0299999993,0,0,0.75,68.3290329
236,1,951423.625,9954.0957,0,1,0,0,0.0299999993,0,0,0.75,71.873642
237,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,64.9562988
238,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,57.7312927
239,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,57.7817039
240,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,54.6838303
241,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.9368515
242,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,48.3874741
243,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,60.2369957
244,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,59.4799347
245,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,55.8475838
246,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,56.4386139
247,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,58.5592499
248,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,55.2026558
249,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,48.163723
250,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,54.6911316
251,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.7540207
252,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,53.0531998
253,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.6110535
254,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,55.8674698
255,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,56.5603905
256,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.7797546
257,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,56.6277924
258,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,61.7352142
259,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,64.6177216
260,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,66.2807312
261,0,0,9942.81641,0,1,0,0,0.0299999993,0,0,0.75,72.162796
262,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,72.7846527
263,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,69.6307831
264,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,65.319397
265,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,62.7475624
266,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,60.5675163
267,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,55.9569778
268,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,59.0159111
269,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,55.1891212
270,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.0178146
271,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,51.7140579
272,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,57.6575203
273,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,57.2733383
274,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,53.6160889
275,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,43.1108627
276,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,39.2427444
277,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,42.4107704
278,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,38.1623955
279,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,36.8081093
280,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,36.5045624
281,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,34.2196045
282,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,32.463047
283,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,30.7910614
284,0,0,9942.81641,0,0,0,0,0.0299999993,0,0,0.75,40.3960419
